frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
74,60,64,6,4,55680,64393,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,43391,43786,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,64393,55680,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,49688,46053,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,44304,46500,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,46053,49688,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,46500,44304,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,34926,32163,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,35778,7526,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,32163,34926,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,42808,2734,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,7526,35778,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,2734,42808,0,1,1,0,1,0,,,,,,,suspicious
